code_commune,nom_commune,code_departement,prix_moyen,nb_ventes
01236,Marsonnas,01,1937.527221183656,20
01237,Martignat,01,1926.9439341816749,12
01238,Massieux,01,3713.9594075709224,21
01239,Massignieu-de-Rives,01,2517.2666204243487,10
01240,Matafelon-Granges,01,1831.4236849377382,14
01241,Meillonnas,01,3213.983306462555,18
01243,Messimy-sur-Saône,01,3771.5394531767597,12
01244,Meximieux,01,3218.168439872224,88
01246,Mézériat,01,2187.5227908390066,49
01247,Mijoux,01,3779.8844666100426,28
01248,Mionnay,01,4091.758917511662,14
01249,Miribel,01,3699.5977720111555,136
01250,Misérieux,01,3198.089323111934,16
01252,Mogneneins,01,3067.5322601363387,10
01254,Montagnat,01,3290.836072024867,21
01255,Montagnieu,01,1593.0280380926934,12
01258,Montceaux,01,2444.3345514180905,13
01259,Montcet,01,2548.380425098638,6
01262,Montluel,01,3289.574021933179,94
01263,Montmerle-sur-Saône,01,3653.0197601898817,58
01264,Montracol,01,3066.5648274845503,12
01265,Montréal-la-Cluse,01,4805.626898952616,33
01266,Montrevel-en-Bresse,01,2734.746105914831,50
01267,Nurieux-Volognat,01,2552.4573055028463,8
01269,Nantua,01,2059.1976791288726,58
01272,Neuville-les-Dames,01,2405.47011711446,22
01273,Neuville-sur-Ain,01,2008.8134200801214,24
01274,Les Neyrolles,01,1699.173615177223,11
01275,Neyron,01,5024.66059603519,40
01276,Niévroz,01,3741.7348652540813,19
01281,Ornex,01,5397.504991695142,58
01283,Oyonnax,01,3605.998373336005,250
01284,Ozan,01,2661.072250284191,11
01285,Parcieux,01,6011.883821741406,20
01286,Parves et Nattages,01,2924.0230253010614,15
01288,Péron,01,4523.473232867371,49
01289,Péronnas,01,2636.9101703145975,93
01290,Pérouges,01,3183.7527309131306,12
01291,Perrex,01,2412.6689991980975,16
01294,Peyrieu,01,2614.3076510052406,8
01295,Peyzieux-sur-Saône,01,2990.312027321699,6
01299,Le Plantay,01,2582.01431359337,8
01301,Polliat,01,3097.328547719644,83
01303,Poncin,01,2078.3645775042983,27
01304,Pont-d'Ain,01,2273.9111672290433,45
01305,Pont-de-Vaux,01,2755.848830626553,44
01306,Pont-de-Veyle,01,2645.2702468326916,29
01307,Port,01,1984.1546438327243,11
01308,Pougny,01,4337.533793985003,25
01313,Prévessin-Moëns,01,5846.6495761262395,175
01314,Priay,01,3667.3098118800553,32
01319,Relevant,01,2709.5177414256364,6
01320,Replonges,01,3144.7996159441577,39
01321,Revonnas,01,3338.116071491093,8
01322,Reyrieux,01,4209.874379672722,40
01323,Reyssouze,01,2124.6119443818934,17
01325,Rignieux-le-Franc,01,3172.949736488737,12
01328,Romans,01,3504.549760580591,11
01333,Saint-André-de-Corcy,01,4312.061917670452,30
01334,Saint-André-d'Huiriat,01,2182.8367421287835,13
01336,Saint-André-sur-Vieux-Jonc,01,2831.1200476006948,13
01337,Saint-Bénigne,01,2045.3397088907202,22
01338,Groslée-Saint-Benoit,01,2346.7397896994416,18
01339,Saint-Bernard,01,4535.12465916069,16
01343,Saint-Cyr-sur-Menthon,01,2204.5440711631404,19
01344,Saint-Denis-lès-Bourg,01,2357.102771558262,79
01345,Saint-Denis-en-Bugey,01,2323.513137794233,28
01346,Saint-Didier-d'Aussiat,01,1921.302529744419,12
01347,Saint-Didier-de-Formans,01,4625.3429813363555,26
01348,Saint-Didier-sur-Chalaronne,01,3045.859781511714,42
01349,Saint-Éloi,01,3228.3699312469666,12
01350,Saint-Étienne-du-Bois,01,2088.462917235831,36
01351,Saint-Étienne-sur-Chalaronne,01,3216.8801218248805,27
01353,Sainte-Euphémie,01,3102.642963200639,22
01354,Saint-Genis-Pouilly,01,4685.336344946524,203
01355,Saint-Genis-sur-Menthon,01,2790.778624801479,9
01358,Saint-Germain-les-Paroisses,01,2002.9096880508914,12
01360,Saint-Jean-de-Gonville,01,5298.394104111337,39
01361,Saint-Jean-de-Niost,01,3815.9218976783773,32
01362,Saint-Jean-de-Thurigneux,01,3698.2602936247017,13
01363,Saint-Jean-le-Vieux,01,1973.835697766459,22
01364,Saint-Jean-sur-Reyssouze,01,1849.5141917147487,15
01365,Saint-Jean-sur-Veyle,01,3409.835596544253,11
01366,Sainte-Julie,01,2859.041425293961,9
01367,Saint-Julien-sur-Reyssouze,01,1665.0438968215997,15
01368,Saint-Julien-sur-Veyle,01,2744.3536978951133,10
01369,Saint-Just,01,2977.3942396170905,15
01370,Saint-Laurent-sur-Saône,01,5547.433139852457,59
